time_us,centre_radiation_stress_pa,apex_dynamic_elevation_um,apex_velocity_m_s,positive_mound_volume_pl,volume_residual_fl,mechanical_energy_pj
205.2,0.0,4.028148583361456,-0.0021058229727939177,381.3092556391098,4.894602258479387e-11,3.0965908534433404
205.3,0.0,4.0279371744587555,-0.0021223550812241314,381.4716643322844,7.713645331401057e-11,3.096357729219443
205.39999999999998,0.0,4.027724113367777,-0.0021388667383943102,381.63399943532687,8.581043199992342e-11,3.096124492864713
205.49999999999997,0.0,4.02750940213383,-0.0021553579405404,381.79626089194556,3.283720502524145e-11,3.0958911443287827
205.6,0.0,4.027293042802601,-0.002171828683938699,381.958448645892,1.0068010974720256e-10,3.0956576835623557
205.7,0.0,4.027075037420162,-0.002188278964905816,382.1205626409606,5.049494735013544e-11,3.095424110517205
205.79999999999998,0.0,4.026855388032927,-0.002204708779798638,382.2826028209895,4.4609033241837444e-11,3.095190425146165
205.89999999999998,0.0,4.026634096687683,-0.002221118125014284,382.44456912985976,6.319613042593638e-11,3.0949566274031373
206.0,0.0,4.026411165431584,-0.0022375069969900745,382.6064615114959,5.3592796880818594e-11,3.0947227172430822
206.1,0.0,4.026186596312124,-0.0022538753922034804,382.76827990986624,9.665290535731446e-11,3.0944886946220183
206.2,0.0,4.025960391377156,-0.0022702233071720877,382.9300242689825,1.0904430348004708e-10,3.0942545594970206
206.3,0.0,4.025732552674875,-0.0022865507384535596,383.09169453290025,8.890828153060657e-11,3.0940203118262164
206.4,0.0,4.02550308225382,-0.002302857682645586,383.25329064571866,1.1090301319845699e-10,3.0937859515687847
206.49999999999997,0.0,4.025271982162869,-0.002319144136385868,383.4148125515812,4.863623763172555e-11,3.093551478684953
206.6,0.0,4.02503925445123,-0.00233541009635204,383.57626019467506,8.983763638981152e-11,3.0933168931359964
206.7,0.0,4.02480490116845,-0.002351655559261663,383.73763351923174,2.6021936057738513e-11,3.093082194884231
206.79999999999998,0.0,4.024568924364394,-0.0023678805218721633,383.898932469527,4.832645267865723e-11,3.092847383893016
206.89999999999998,0.0,4.024331326089253,-0.0023840849809808012,384.0601569898805,6.691354986275617e-11,3.0926124601267486
207.0,0.0,4.024092108393532,-0.0024002689334246302,384.221307024657,8.550064704685511e-11,3.0923774235508636
207.1,0.0,4.023851273328055,-0.002416432376080444,384.38238251826505,4.089161380501766e-11,3.0921422741318287
